date,conditional_volatility
2002-01-07,2.505098369042855
2002-01-08,2.4257235244403987
2002-01-09,2.3393999783714463
2002-01-10,2.2888738281037586
2002-01-11,2.206725912055479
2002-01-14,2.227351698129354
2002-01-15,2.3596588342449256
2002-01-16,2.3079304528424274
2002-01-17,2.2443821423865016
2002-01-18,2.4450697837958324
2002-01-21,2.35017714740299
2002-01-22,2.4647174115690107
2002-01-23,2.3681109117317103
2002-01-24,2.853686503787516
2002-01-25,2.743892557932953
2002-01-28,2.63521059673485
2002-01-29,3.111401724869115
2002-01-30,3.0581817331905943
2002-01-31,2.9387193075410303
2002-02-01,3.310135045710416
2002-02-04,3.1805553871309296
2002-02-05,3.088112857529052
2002-02-06,2.9721365855677493
2002-02-07,2.930767201105444
2002-02-08,2.8631282295071814
2002-02-25,2.752737136971256
2002-02-26,2.6765017946625043
2002-02-27,2.5709671900747626
2002-02-28,2.470271027930065
2002-03-01,2.3867708885634507
2002-03-04,2.325856052799572
2002-03-05,2.270861142540077
2002-03-06,2.272235364268802
2002-03-07,2.199716675082075
2002-03-08,2.267918516737362
2002-03-11,2.2292332179995924
2002-03-12,2.198668328857937
2002-03-13,2.134026063486488
2002-03-14,2.0887564715007425
2002-03-15,2.1122243667247784
2002-03-18,2.1673721218514155
2002-03-19,2.084267939662559
2002-03-20,2.0709471488519986
2002-03-21,2.009430564021492
2002-03-22,1.9333265258987298
2002-03-25,1.8868234932134182
2002-03-26,1.8160373005845392
2002-03-27,1.8081888328192146
2002-03-28,1.741693114083181
2002-03-29,1.6769721267660898
2002-04-01,1.8022665410645164
2002-04-02,1.7361621123532935
2002-04-03,1.7287025891712304
2002-04-04,1.6678705332456585
2002-04-05,1.7606045930743799
2002-04-08,1.6987665072094522
2002-04-09,1.6357163277871831
2002-04-10,1.6460017435551868
2002-04-11,1.5944344378574997
2002-04-12,1.5993279380250618
2002-04-15,1.5447389109603373
2002-04-16,1.4941192636790346
2002-04-17,1.4418495146438297
2002-04-18,1.3903590981743326
2002-04-19,1.377914272679029
2002-04-22,1.3316283308472594
2002-04-23,1.2913221103155978
2002-04-24,1.2540831309476592
2002-04-25,1.2264009317832252
2002-04-26,1.1861892826937586
2002-04-29,1.2105014839085089
2002-04-30,1.2236541178353646
2002-05-08,1.1845751568358744
2002-05-09,1.169003416860171
2002-05-10,1.1313693853427151
2002-05-13,1.1120408595497744
2002-05-14,1.124588453958081
2002-05-15,1.102157032502136
2002-05-16,1.0951013316207863
2002-05-17,1.3421767725258675
2002-05-20,1.3363842546455265
