date,std_resid
2002-01-07,-0.4480052958327824
2002-01-08,-0.307895225062958
2002-01-09,-0.6793616284859284
2002-01-10,0.2840184512595993
2002-01-11,-1.1372741045679227
2002-01-14,-1.6450267916705517
2002-01-15,-0.6736528124079366
2002-01-16,0.5496985990597808
2002-01-17,-1.8937500769020945
2002-01-18,-0.10479306371678464
2002-01-21,-1.5510239783311475
2002-01-22,0.04061797044821372
2002-01-23,2.6849515558607635
2002-01-24,0.18125880796357288
2002-01-25,-0.01373303096769938
2002-01-28,-2.5352136720160634
2002-01-29,0.7778353597677277
2002-01-30,0.14863931502024438
2002-01-31,2.174241185577298
2002-02-01,-0.1565961172742053
2002-02-04,0.5364505408996738
2002-02-05,0.2494536017517229
2002-02-06,-0.829230664705976
2002-02-07,0.6644992525291352
2002-02-08,-0.17592965527938234
2002-02-25,0.5606634055820846
2002-02-26,-0.05360871632226105
2002-02-27,0.07957809274502155
2002-02-28,-0.3788891665994566
2002-03-01,-0.5993174550341529
2002-03-04,0.6374589403352402
2002-03-05,1.0282198423817146
2002-03-06,0.42958331886747164
2002-03-07,1.3767397982219751
2002-03-08,0.7612395716664969
2002-03-11,0.8168993829981971
2002-03-12,-0.4971107400514333
2002-03-13,-0.6789341837206071
2002-03-14,1.156890688065406
2002-03-15,-1.3239992767557878
2002-03-18,0.09895556987770426
2002-03-19,0.9254015039981272
2002-03-20,0.48097829363741024
2002-03-21,0.1090082118129449
2002-03-22,-0.6092304061942213
2002-03-25,0.10715781946255466
2002-03-26,-0.9439300061833182
2002-03-27,0.1536220940618291
2002-03-28,-0.08054993513803876
2002-03-29,-1.7624740940335146
2002-04-01,0.15979898009373988
2002-04-02,-0.9398358495167073
2002-04-03,0.23833407701923845
2002-04-04,1.5968947718047202
2002-04-05,-0.24915897060639
2002-04-08,0.05190875875908765
2002-04-09,1.0769427767931512
2002-04-10,0.3852512791368758
2002-04-11,-1.0324081660610582
2002-04-12,0.2608655287849575
2002-04-15,-0.3093665603324064
2002-04-16,-0.169937703955229
2002-04-17,-0.0034496240342078693
2002-04-18,-0.8382437596054202
2002-04-19,0.2058507926252812
2002-04-22,-0.3451390115798551
2002-04-23,-0.38269015564198644
2002-04-24,-0.5617349006523468
2002-04-25,0.15129889879210112
2002-04-26,1.2055038916124394
2002-04-29,1.0930984364320075
2002-04-30,0.21092948899894878
2002-05-08,-0.7294424496953307
2002-05-09,0.1375143805973423
2002-05-10,-0.637290763706434
2002-05-13,-1.0813234244072343
2002-05-14,-0.5716377922695182
2002-05-15,-0.8256058520940386
2002-05-16,-2.774481477169661
2002-05-17,0.9039154572290857
2002-05-20,-1.1046354920864048
2002-05-21,2.3009989716625414
2002-05-22,-0.9516075091622332
2002-05-23,0.2197038727021685
2002-05-24,-1.006973410392826
2002-05-27,0.21380614376608423
2002-05-28,-0.014553747474422203
2002-05-29,-1.4074001727762093
2002-05-30,-0.02444212370065953
2002-05-31,-0.43986725598412885
2002-06-03,-1.534961249581982
2002-06-04,0.3370028691816195
2002-06-05,-1.3926391903319322
2002-06-06,2.7918070250046094
2002-06-07,0.3015459903587668
2002-06-10,-0.4301593581520769
2002-06-11,0.4298768324326314
2002-06-12,-0.3176510084397678
2002-06-13,-0.6061945542205406
2002-06-14,-0.7442694326635195
2002-06-17,0.12326324649291118
2002-06-18,1.3515135767512887
2002-06-19,-0.7151829765959132
2002-06-20,0.4854201534366873
2002-06-21,2.4145105956559556
2002-06-24,5.446113191128352
