date,close,log_close,ret
2002-01-07,1302.084,7.1717213368164705,-1.097645999372432
2002-01-08,1292.714,7.164499163276898,-0.7222173539572552
2002-01-09,1272.645,7.148852690852443,-1.5646472424455382
2002-01-10,1281.261,7.1556000282157175,0.674733736327493
2002-01-11,1249.814,7.130750019224529,-2.4850008991188943
2002-01-14,1205.146,7.09435600041098,-3.6394018813548534
2002-01-15,1186.433,7.078706605676265,-1.5649394734714939
2002-01-16,1201.877,7.091639780408222,1.2933174731957209
2002-01-17,1152.148,7.049383305226209,-4.225647518201292
2002-01-18,1149.483,7.047067555055165,-0.23157501710446837
2002-01-21,1108.61,7.010862257331094,-3.6205297724070995
2002-01-22,1109.994,7.012109888886365,0.12476315552714112
2002-01-23,1183.154,7.0759390330208225,6.382914413445739
2002-01-24,1189.583,7.081358104526013,0.5419071505190942
2002-01-25,1189.428,7.08122779827672,-0.013030624929299961
2002-01-28,1112.835,7.014666092307291,-6.656170596942967
2002-01-29,1140.377,7.039114188473154,2.44480961658633
2002-01-30,1145.855,7.043906362218851,0.47921737456970703
2002-01-31,1221.76,7.1080477210973285,6.414135887847738
2002-02-01,1215.743,7.103110691504622,-0.4937029592706921
2002-02-04,1236.969,7.1204193114479075,1.730861994328592
2002-02-05,1246.842,7.12836923356258,0.7949922114672603
2002-02-06,1216.788,7.1039698789635155,-2.4399354599064615
2002-02-07,1241.023,7.123691318473639,1.9721439510123062
2002-02-08,1235.092,7.118900740214668,-0.4790578258970335
2002-02-25,1254.611,7.134580843358942,1.568010314427415
2002-02-26,1253.121,7.13339251846989,-0.11883248890525167
2002-02-27,1255.997,7.13568495849026,0.22924400203701012
2002-02-28,1244.603,7.126571882545196,-0.911307594506372
2002-03-01,1227.229,7.11251406136377,-1.4057821181426178
2002-03-04,1245.867,7.127586952077078,1.507289071330753
2002-03-05,1275.614,7.151182910303019,2.3595958225941516
2002-03-06,1288.444,7.161190567758734,1.0007657455714636
2002-03-07,1328.388,7.191721456038122,3.0530888279388435
2002-03-08,1351.854,7.209232262606087,1.7510806567964998
2002-03-11,1377.037,7.227689368374925,1.8457105768837856
2002-03-12,1362.404,7.217006065339471,-1.068330303545384
2002-03-13,1343.138,7.2027639462703625,-1.424211906910866
2002-03-14,1376.329,7.2271750887509265,2.4411142480563974
2002-03-15,1338.702,7.199455766777439,-2.7719321973487254
2002-03-18,1341.907,7.201847015577396,0.2391248799956891
2002-03-19,1368.378,7.221381375803793,1.953436022639643
2002-03-20,1382.417,7.231588695427882,1.0207319624089273
2002-03-21,1385.79,7.234025653118753,0.24369576908709334
2002-03-22,1369.901,7.222493753437368,-1.1531899681385127
2002-03-25,1373.012,7.224762145715211,0.22683922778430343
2002-03-26,1350.009,7.20786653807692,-1.6895607638290677
2002-03-27,1354.098,7.210890828991897,0.30242909149773567
2002-03-28,1352.533,7.209734409683608,-0.11564193082893581
2002-03-29,1313.466,7.180424723750601,-2.930968593300687
2002-04-01,1317.579,7.183551240667201,0.3126516916600153
2002-04-02,1296.574,7.167480680094987,-1.6070560572214454
2002-04-03,1302.248,7.171847280820704,0.43666007257172623
2002-04-04,1337.728,7.198727931531984,2.6880650711279763
2002-04-05,1332.201,7.194587740616839,-0.4140190915144615
2002-04-08,1333.705,7.195716062590355,0.11283219735158667
2002-04-09,1357.742,7.213578304796694,1.7862242206338586
2002-04-10,1366.716,7.220166060933764,0.6587756137069967
2002-04-11,1344.734,7.2039515029602414,-1.6214557973522226
2002-04-12,1350.689,7.208370111608184,0.44186086479429676
2002-04-15,1344.581,7.2038377193386385,-0.45323922695459373
2002-04-16,1341.502,7.201545160732998,-0.22925586056405933
2002-04-17,1341.766,7.201741935711012,0.01967749780140693
2002-04-18,1326.546,7.190333850699868,-1.140808501114421
2002-04-19,1330.642,7.193416811517283,0.30829608174149925
2002-04-22,1324.867,7.1890673560236875,-0.43494554935952223
2002-04-23,1318.661,7.18437210679529,-0.4695249228397813
2002-04-24,1309.727,7.177573997530971,-0.6798109264318342
2002-04-25,1312.483,7.179676042000944,0.21020444699724194
2002-04-26,1331.714,7.194222113331115,1.4546071330171273
2002-04-29,1349.785,7.2077005994901135,1.3478486158998493
2002-04-30,1353.607,7.210528160233387,0.2827560743273061
2002-05-08,1342.292,7.202133879556289,-0.8394280677097576
2002-05-09,1344.783,7.203987940729554,0.18540611732653645
2002-05-10,1335.451,7.197024341498771,-0.6963599230783046
2002-05-13,1319.814,7.185246096560888,-1.1778244937882931
2002-05-14,1311.68,7.179064037315973,-0.618205924491555
2002-05-15,1300.119,7.170211077721778,-0.8852959594195298
2002-05-16,1261.522,7.140074207485129,-3.0136870236648683
2002-05-17,1277.235,7.152452864160737,1.2378656675608113
2002-05-20,1258.829,7.1379372027386765,-1.451566142206051
2002-05-21,1298.878,7.169256093861223,3.1318891122546155
2002-05-22,1280.16,7.154740349101814,-1.4515744759409088
2002-05-23,1284.836,7.158386362725227,0.36460136234133245
2002-05-24,1265.966,7.14359074610336,-1.4795616621866792
2002-05-27,1270.336,7.147036711390112,0.34459652867520063
2002-05-28,1270.382,7.147072921626751,0.0036210236638467563
2002-05-29,1246.019,7.127708948027284,-1.9363973599466178
2002-05-30,1245.886,7.127602202384793,-0.010674564249146812
2002-05-31,1238.577,7.121718418979054,-0.5883783405739251
2002-06-03,1213.388,7.101171725892788,-2.054669308626611
2002-06-04,1219.523,7.106215077666725,0.5043351773937665
2002-06-05,1196.623,7.087258701897733,-1.8956375768992118
2002-06-06,1245.613,7.127383057202642,4.012435530490865
2002-06-07,1252.514,7.132908010541261,0.5524953338619021
2002-06-10,1243.743,7.125880660316261,-0.7027350225000006
2002-06-11,1252.851,7.1331770332202185,0.7296372903957682
2002-06-12,1246.843,7.128370035588497,-0.48069976317215435
2002-06-13,1235.572,7.119289299732303,-0.9080735856193733
2002-06-14,1222.119,7.108341516332348,-1.094778339995539
2002-06-17,1224.654,7.1104136341030095,0.2072117770661741
2002-06-18,1248.837,7.129967997205614,1.9554363102604277
2002-06-19,1236.049,7.119675281244778,-1.029271596083614
2002-06-20,1245.081,7.1269558670234465,0.7280585778668858
2002-06-21,1288.522,7.161251104063849,3.4295237040402604
2002-06-24,1409.505,7.250993857905095,8.974275384124564
2002-06-25,1409.226,7.250795896481382,-0.01979614237130889
2002-06-26,1417.307,7.256513871129124,0.5717974647742707
2002-06-27,1422.512,7.260179601817277,0.36657306881524576
2002-06-28,1431.175,7.266251064182805,0.6071462365528468
2002-07-01,1415.33,7.255117998434523,-1.1133065748282434
2002-07-02,1425.814,7.262498157684276,0.7380159249753326
2002-07-03,1427.39,7.263602880767716,0.11047230834400068
2002-07-04,1412.617,7.2531992914486345,-1.0403589319081696
2002-07-05,1415.403,7.255169575181617,0.19702837329829137
2002-07-08,1423.696,7.2610115860350835,0.5842010853466029
2002-07-09,1419.471,7.258039545975558,-0.2972040059525227
2002-07-10,1392.901,7.239143901620356,-1.8895644355202634
2002-07-11,1390.929,7.237727148205206,-0.14167534151496852
2002-07-12,1389.45,7.236663264368146,-0.1063883837059798
2002-07-15,1379.38,7.229389401834517,-0.727386253362905
2002-07-16,1382.412,7.2315850785676705,0.2195676733153462
2002-07-17,1393.022,7.239230766907068,0.7645688339397161
2002-07-18,1397.411,7.242376517849212,0.31457509421439767
2002-07-19,1403.253,7.246548391714198,0.41718738649860754
2002-07-22,1380.282,7.230043105101164,-1.6505286613033299
2002-07-23,1375.613,7.226654728935091,-0.338837616607357
2002-07-24,1372.892,7.224674742805221,-0.19799861298697152
2002-07-25,1364.996,7.218906777211836,-0.5767965593385327
2002-07-26,1361.409,7.2162754718337805,-0.26313053780553375
2002-07-29,1368.797,7.2216875308748225,0.5412059041042028
2002-07-30,1371.909,7.223958479555517,0.2270948680694218
2002-07-31,1358.16,7.213886121502378,-1.007235805313833
2002-08-01,1355.303,7.2117803245515795,-0.21057969507989327
2002-08-02,1359.993,7.215234831658028,0.3454507106448901
2002-08-05,1353.479,7.210433593603367,-0.4801238054660928
2002-08-06,1368.994,7.221831442517705,1.1397848914337594
2002-08-07,1366.795,7.220223862054756,-0.16075804629487322
2002-08-08,1359.677,7.2150024505225065,-0.5221411532249753
2002-08-09,1350.311,7.208090215271667,-0.6912235250839949
2002-08-12,1340.216,7.200586073984446,-0.7504141287220989
2002-08-13,1342.357,7.202182303018732,0.15962290342868002
2002-08-14,1351.507,7.2089755451333515,0.6793242114619069
2002-08-15,1340.968,7.201147020207994,-0.782852492535735
2002-08-16,1349.622,7.207579832225156,0.643281201716217
2002-08-19,1347.16,7.205753951835868,-0.18258803892878817
2002-08-20,1370.046,7.2225995949008235,1.6845643064955063
2002-08-21,1370.957,7.223264315102548,0.0664720201724478
2002-08-22,1381.549,7.230960612427921,0.7696297325373358
2002-08-23,1379.419,7.229417675007012,-0.1542937420909496
2002-08-26,1366.181,7.219774535013223,-0.964313999378863
2002-08-27,1369.76,7.222390820994176,0.26162859809524264
2002-08-28,1368.397,7.221395260759626,-0.09955602345499415
2002-08-29,1362.67,7.2172012893963915,-0.41939713632341835
2002-08-30,1361.298,7.21619393533348,-0.10073540629118583
2002-09-02,1362.152,7.216821081069947,0.06271457364670496
2002-09-03,1366.71,7.220161670838697,0.33405897687499575
2002-09-04,1358.78,7.2143425173085145,-0.5819153530182142
2002-09-05,1341.468,7.201519815686276,-1.282270162223842
2002-09-06,1334.343,7.1961943148647975,-0.5325500821478535
2002-09-09,1323.132,7.187756932380567,-0.843738248423076
2002-09-10,1324.21,7.188571334191578,0.08144018110112228
2002-09-11,1319.034,7.184654929488957,-0.39164047026210014
2002-09-12,1322.232,7.187076496694042,0.24215672050846848
2002-09-13,1321.809,7.186756531910131,-0.031996478391072
2002-09-16,1302.617,7.172130596848574,-1.4625935061556739
2002-09-17,1304.376,7.173480044481866,0.13494476332915895
2002-09-18,1295.561,7.166699084960806,-0.6780959521059948
2002-09-19,1319.817,7.185248369605871,1.8549284645065
2002-09-20,1305.747,7.174530569783614,-1.0717799822256957
2002-09-23,1304.924,7.173900080513029,-0.06304892705850662
2002-09-24,1299.185,7.16949242377426,-0.44076567387687504
2002-09-25,1299.523,7.169752553039961,0.02601292657011811
2002-09-26,1291.378,7.163465144272128,-0.6287408767833291
2002-09-27,1285.652,7.159021261645129,-0.44438826269992404
2002-10-08,1272.939,7.1490836791060675,-0.9937582539061296
2002-10-09,1247.533,7.128923280181613,-2.0160398924454093
2002-10-10,1241.552,7.124117488887831,-0.48057912937826686
2002-10-11,1237.14,7.120557543029679,-0.35599458581518917
2002-10-14,1243.744,7.125881464340563,0.5323921310884216
2002-10-15,1238.967,7.122033246891874,-0.38482174486889065
2002-10-16,1247.72,7.129073164782774,0.7039917890899972
2002-10-17,1228.263,7.113356255157207,-1.5716909625567155
2002-10-18,1233.668,7.1177471245064385,0.43908693492316075
2002-10-21,1237.362,7.120736973073053,0.2989848566614661
2002-10-22,1254.739,7.134682861810025,1.3945888736971668
2002-10-23,1255.635,7.1353966996987594,0.07138378887345809
2002-10-24,1244.559,7.126536529281725,-0.8860170417034574
2002-10-25,1233.578,7.117674168668196,-0.8862360613528963
2002-10-28,1219.425,7.106134715149729,-1.153945351846719
2002-10-29,1226.775,7.112144053812699,0.6009338662970265
2002-10-30,1225.94,7.111463175657464,-0.06808781552347654
2002-10-31,1225.338,7.110972003287702,-0.04911723697622605
2002-11-01,1227.849,7.113019136976994,0.2047133689291769
2002-11-04,1246.804,7.128338756101061,1.531961912406743
2002-11-05,1265.73,7.14340430981663,1.506555371556928
2002-11-06,1260.054,7.13890985617004,-0.4494453646590735
2002-11-07,1259.87,7.138763820019483,-0.01460361505563057
2002-11-08,1232.945,7.117160895518992,-2.160292450049184
2002-11-11,1218.356,7.105257687993868,-1.1903207525123527
2002-11-12,1200.92,7.090843208703993,-1.4414479289874826
2002-11-13,1206.419,7.095411746466542,0.4568537762549063
2002-11-14,1183.635,7.076345490889794,-1.906625557674868
2002-11-15,1186.923,7.079119523086853,0.2774032197059739
2002-11-18,1174.825,7.068874479315954,-1.0245043770899187
2002-11-19,1182.636,7.075501124323704,0.662664500775012
2002-11-20,1154.898,7.051767307367875,-2.3733816955829212
2002-11-21,1125.38,7.025876035382228,-2.5891271985647
2002-11-22,1128.072,7.028265259808204,0.23892244259755557
2002-11-25,1133.17,7.032774293903138,0.45090340949345276
2002-11-26,1111.053,7.013063493272271,-1.9710800630867276
2002-11-27,1118.964,7.020158536212639,0.7095042940368224
2002-11-28,1150.585,7.048025787667698,2.7867251455059083
2002-11-29,1164.618,7.060148415234118,1.2122627566419908
2002-12-02,1132.929,7.032561593574592,-2.758682165952564
2002-12-03,1144.629,7.042835846016089,1.0274252441496934
