model,distribution,loglikelihood,AIC,BIC,omega,alpha,beta,gamma,gamma_pvalue,nu,vol_persistence_proxy,half_life_days,notes
"GJR-GARCH(1,1)-Normal",Normal,-10150.96945442137,20311.93890884274,20345.354141620257,0.022745518910662683,0.0671489465222914,0.9172196427561081,0.01590544719599179,0.2172,,0.9923213128763955,89.9,asymmetry: positive but not statistically significant (p=0.2172)
"GJR-GARCH(1,1)-Student-t",Student-t,-9943.40706663784,19898.81413327568,19938.912412608697,0.02058873052139156,0.0575382224813699,0.9253729912768165,0.021714824351118236,0.0463,5.1432,0.9937686259337455,110.9,"nu=5.1432; asymmetry: significant (positive asymmetry, p<0.05)"
"EGARCH(1,1)-Normal",Normal,-10144.394862418507,20298.789724837014,20332.20495761453,0.01727995219042852,0.16589650286681795,0.9871797941331408,-0.012052581738969354,0.2127,,0.9871797941331408,53.7,EGARCH persistence proxy = |beta| (log-variance space); asymmetry: negative but not statistically significant (p=0.2127)
"EGARCH(1,1)-Student-t",Student-t,-9932.182128496392,19876.364256992783,19916.462536325802,0.015133269505705291,0.14735768192123588,0.9903774321464744,-0.012344588815935729,0.1007,5.1864,0.9903774321464744,71.7,EGARCH persistence proxy = |beta| (log-variance space); nu=5.1864; asymmetry: negative but not statistically significant (p=0.1007)
