model,distribution,loglikelihood,AIC,BIC,omega,alpha,gamma,gamma_pvalue,beta,alpha_beta_persistence,half_life_days,notes
"GARCH(1,1)-Normal",Normal,-10152.990499400234,20313.980998800467,20340.71318502248,0.021579923172773473,0.07335593610929522,,,0.9194713929325842,0.9928273290418794,96.3,
"GARCH(1,1)-Student-t",Student-t,-9945.813305081818,19901.626610163636,19935.04184294115,0.018871227010146784,0.0664549290456685,,,0.9281088378006561,0.9945637668463246,127.2,nu=5.1541 (heavy-tail dof)
"GJR-GARCH(1,1)-Normal",Normal,-10150.96945442137,20311.93890884274,20345.354141620257,0.022745518910662683,0.0671489465222914,0.01590544719599179,0.2172,0.9172196427561081,0.9923213128763955,89.9,"gamma=0.015905, p_gamma=0.2172: positive but not statistically significant"
"AR(1)-GARCH(1,1)-Normal",Normal,-10149.424087609019,20308.848175218038,20342.262560753323,0.021494803551962868,0.07338449655696294,,,0.9194552204143195,0.9928397169712824,96.5,AR(1) coeff=0.023963
